type,name,label::English,label::Arabic,relevant,constraint,required,repeat_count,constraint_message:English,constraint_message::Arabic,read_only,appearance,choice_filter,default,calculation,hint::English,hint::Arabic
start,start,,,,,,,,,,,,,,,
end,end,,,,,,,,,,,,,,,
today,date_assessment,,,,,,,,,,,,,,,
deviceid,deviceid,,,,,,,,,,,,,,,
integer,enumerator_num,1.1. Please record your enumerator number,??? ???? ?????????,,,yes,,,,,,,,,To be filled in by enumerator,??? ??????? ?? ??? ??????
select_one sex,enumerator_gender,1.1.2. Please record your gender ,??? ???? ?????????,,,,,,,,,,,,,
select_one governorate_wash,governorate_wash,1.2.1. Current Governorate,???????? ???????,,,yes,,,,,,,,,To be filled in by enumerator,??? ??????? ?? ??? ??????
select_one cluster,cluster_location_id,1.2.2. What is the ID number of your Location?,???? ??? ??? ?????? ( ??????? ?? ???????),,,yes,,,,,,Governorate=${governorate_wash},,,To be filled in by enumerator,??? ??????? ?? ??? ??????
select_one yes_no,hhh,1.3.1. Are you the head of household? ,?? ??? ?? ???????,,,yes,,,,,,,,,"A household is a group of people who regularly share meals, income, and expenditures together. Members must acknowledge the authority of one person as head of household and that person must actually live with the rest of the household members. In polygamous households, each wife is treated as a distinct household when the wives live in different houses, cook separately and take decisions independently.",?????? ?? ?????? ?? ??????? ????? ???????? ??????? ????? ?????? ?????? ???????? ????. ??? ?? ????? ??????? ????? ??? ???? ????? ???? ?????? ? ???? ?? ???? ??? ????? ?????? ?? ???? ????? ??????. ?? ????? ?????? ??????? ? ????? ?? ???? ??? ???? ???? ?????? ????? ???? ??????? ?? ????? ?????? ? ????? ???? ????? ????? ???????? ???? ?????.
select_one yes_no,will_to_response,"1.3.2.  If no, are you willing and able to respond to the questions on behalf of the household?","??? ???, ?? ??? ???? ? ????? ??????? ??? ??????? ???????? ????","selected(${hhh}, 'no')",.='yes',yes,,,,,,,,,,??? ???? ?????? ????? ????????  ????????? ??? ???? ????
select_one yes_no,consent,"1.3.3.  Hello, my name is __ and I work for REACH initiative. We are conducting interviews in order to inform the humanitarian response in Iraq. This interview will take around 45 minutes,  and your answers will remain anonymous and you are free to withdraw at any moment during the survey. The information you provide us will be used in reports and factsheets and shared with humanitarian decision-makers in Iraq. Do you agree to participate?","????? , ??? ???? __. ??? ???? ????????? ?? ??? ??????? ??????? ??? ????????? ????????? ?? ??????. ???? ???????? ?????? ????? 45 ?????. ?????? ??????? ????. ?? ???? ?? ?????? ?? ??????? ?? ?? ???? ?? ?????????. ???? ??????? ????????? ???? ??????? ??? ?? ???????? ????????? ?? ???? ?????? ?? ?????? ????????. ?? ????? ??? ?????????",,.='yes',yes,,,,,,,,,??? ???? ?????? ????? ????????  ????????? ??? ???? ????,??? ???? ?????? ????? ????????  ????????? ??? ???? ????
integer,age_respondent,1.4.. What is your age? ,??? ??????,,.> 17 and .< 120,yes,,Age cannot be below 18 and above 120,?? ???? ?? ???? ????? ??? ?? ??18 ???? ??120 ???,,,,,,,
select_one sex,gender_respondent,1.5. Respondent's sex,??? ?????? ,,,yes,,,,,,,,,,
begin group,household_numbers,,,,,yes,,,,,field-list,,,,,
